"OrderTrackingID","SalesOrderID","TrackingEventID","EventDateTime"
2002,71757,1,"2014-04-30 02:00:00.000000"
2062,52395,1,"2013-07-10 02:00:00.000000"
2069,54537,1,"2013-08-17 02:00:00.000000"
2074,61530,1,"2013-12-04 02:00:00.000000"
2130,65352,1,"2014-01-29 02:00:00.000000"
2163,72807,1,"2014-05-13 02:00:00.000000"
2171,58506,1,"2013-10-23 02:00:00.000000"
2176,72240,1,"2014-05-05 02:00:00.000000"
2193,48426,1,"2012-11-01 02:00:00.000000"
2238,56826,1,"2013-09-26 02:00:00.000000"
2294,71883,1,"2014-05-01 02:00:00.000000"
2314,61551,1,"2013-12-05 02:00:00.000000"
2321,49392,1,"2013-01-21 02:00:00.000000"
2329,66549,1,"2014-02-17 02:00:00.000000"
2330,71064,1,"2014-04-20 02:00:00.000000"
2333,49518,1,"2013-01-28 02:00:00.000000"
2346,60690,1,"2013-11-22 02:00:00.000000"
2349,48111,1,"2012-10-04 02:00:00.000000"
2360,72912,1,"2014-05-14 02:00:00.000000"
2367,59052,1,"2013-10-30 02:00:00.000000"
2378,63693,1,"2014-01-06 02:00:00.000000"
2390,68670,1,"2014-03-20 02:00:00.000000"
2392,43869,1,"2011-07-01 02:00:00.000000"
2401,71778,1,"2014-05-01 02:00:00.000000"
2429,46767,1,"2012-06-09 02:00:00.000000"
2440,53844,1,"2013-08-04 02:00:00.000000"
2447,64848,1,"2014-01-23 02:00:00.000000"
2450,66591,1,"2014-02-18 02:00:00.000000"
2486,56994,1,"2013-09-29 02:00:00.000000"
2519,65688,1,"2014-02-04 02:00:00.000000"
2537,57666,1,"2013-10-08 02:00:00.000000"
2548,58359,1,"2013-10-21 02:00:00.000000"
2566,71967,1,"2014-05-01 02:00:00.000000"
2582,67536,1,"2014-03-03 02:00:00.000000"
2585,44919,1,"2011-11-15 02:00:00.000000"
2600,53277,1,"2013-07-27 02:00:00.000000"
2610,46452,1,"2012-05-09 02:00:00.000000"
2616,50553,1,"2013-04-21 02:00:00.000000"
2623,52983,1,"2013-07-22 02:00:00.000000"
2662,63231,1,"2013-12-31 02:00:00.000000"
2673,73836,1,"2014-05-26 02:00:00.000000"
2685,63168,1,"2013-12-31 02:00:00.000000"
2689,70371,1,"2014-04-10 02:00:00.000000"
2697,62475,1,"2013-12-20 02:00:00.000000"
2716,46263,1,"2012-04-19 02:00:00.000000"
2729,62580,1,"2013-12-21 02:00:00.000000"
2750,71505,1,"2014-04-27 02:00:00.000000"
2776,53445,1,"2013-07-30 02:00:00.000000"
2789,74529,1,"2014-06-11 02:00:00.000000"
2805,48489,1,"2012-11-07 02:00:00.000000"
2837,50064,1,"2013-03-16 02:00:00.000000"
2844,53466,1,"2013-07-31 02:00:00.000000"
2873,44730,1,"2011-10-29 02:00:00.000000"
2885,49434,1,"2013-01-26 02:00:00.000000"
2893,63987,1,"2014-01-10 02:00:00.000000"
2894,67137,1,"2014-02-26 02:00:00.000000"
2932,68250,1,"2014-03-14 02:00:00.000000"
2952,60920,1,"2013-11-26 02:00:00.000000"
2957,65667,1,"2014-02-03 02:00:00.000000"
3040,60123,1,"2013-11-14 02:00:00.000000"
3053,50379,1,"2013-04-03 02:00:00.000000"
3070,56112,1,"2013-09-12 02:00:00.000000"
3072,59262,1,"2013-11-01 02:00:00.000000"
3092,68985,1,"2014-03-25 02:00:00.000000"
3104,52584,1,"2013-07-14 02:00:00.000000"
3112,60228,1,"2013-11-15 02:00:00.000000"
3132,66108,1,"2014-02-10 02:00:00.000000"
3195,65961,1,"2014-02-08 02:00:00.000000"
3209,61194,1,"2013-11-30 02:00:00.000000"
3217,62643,1,"2013-12-23 02:00:00.000000"
3224,47964,1,"2012-09-30 02:00:00.000000"
3241,45906,1,"2012-03-14 02:00:00.000000"
3242,62433,1,"2013-12-19 02:00:00.000000"
3263,56637,1,"2013-09-22 02:00:00.000000"
3330,47754,1,"2012-09-02 02:00:00.000000"
3339,50694,1,"2013-04-30 02:00:00.000000"
3341,70644,1,"2014-04-14 02:00:00.000000"
3363,44877,1,"2011-11-10 02:00:00.000000"
3389,68776,1,"2014-03-22 02:00:00.000000"
3396,69132,1,"2014-03-27 02:00:00.000000"
3398,48783,1,"2012-11-30 02:00:00.000000"
3414,69825,1,"2014-04-03 02:00:00.000000"
3417,47103,1,"2012-07-04 02:00:00.000000"
3435,59053,1,"2013-10-30 02:00:00.000000"
3452,50589,1,"2013-04-24 02:00:00.000000"
3469,49119,1,"2012-12-31 02:00:00.000000"
3502,47544,1,"2012-08-12 02:00:00.000000"
3505,44289,1,"2011-08-31 02:00:00.000000"
3506,65499,1,"2014-01-31 02:00:00.000000"
3513,50967,1,"2013-05-18 02:00:00.000000"
3522,64428,1,"2014-01-17 02:00:00.000000"
3556,59283,1,"2013-11-02 02:00:00.000000"
3582,71337,1,"2014-04-24 02:00:00.000000"
3591,59430,1,"2013-11-04 02:00:00.000000"
3598,71692,1,"2014-04-30 02:00:00.000000"
3631,66444,1,"2014-02-16 02:00:00.000000"
3672,52794,1,"2013-07-18 02:00:00.000000"
3676,45822,1,"2012-03-01 02:00:00.000000"
3701,50442,1,"2013-04-09 02:00:00.000000"
3707,58862,1,"2013-10-29 02:00:00.000000"
3716,61257,1,"2013-11-30 02:00:00.000000"
3717,59955,1,"2013-11-11 02:00:00.000000"
3729,46158,1,"2012-04-05 02:00:00.000000"
3745,55461,1,"2013-09-01 02:00:00.000000"
3760,64281,1,"2014-01-15 02:00:00.000000"
3795,53319,1,"2013-07-28 02:00:00.000000"
3802,47187,1,"2012-07-14 02:00:00.000000"
3829,73878,1,"2014-05-27 02:00:00.000000"
3832,46179,1,"2012-04-09 02:00:00.000000"
3835,53151,1,"2013-07-25 02:00:00.000000"
3860,65835,1,"2014-02-06 02:00:00.000000"
3900,60564,1,"2013-11-21 02:00:00.000000"
3932,52920,1,"2013-07-20 02:00:00.000000"
3934,59031,1,"2013-10-30 02:00:00.000000"
3937,55734,1,"2013-09-05 02:00:00.000000"
3940,53487,1,"2013-07-31 02:00:00.000000"
3948,74634,1,"2014-06-15 02:00:00.000000"
3971,52962,1,"2013-07-21 02:00:00.000000"
3974,73164,1,"2014-05-17 02:00:00.000000"
4008,69699,1,"2014-04-01 02:00:00.000000"
4014,62185,1,"2013-12-15 02:00:00.000000"
4021,53130,1,"2013-07-24 02:00:00.000000"
4043,51681,1,"2013-06-29 02:00:00.000000"
4060,67851,1,"2014-03-08 02:00:00.000000"
4078,47649,1,"2012-08-29 02:00:00.000000"
4085,60270,1,"2013-11-16 02:00:00.000000"
4088,61131,1,"2013-11-29 02:00:00.000000"
4089,48846,1,"2012-12-06 02:00:00.000000"
4093,55440,1,"2013-08-31 02:00:00.000000"
4148,64155,1,"2014-01-13 02:00:00.000000"
4190,68418,1,"2014-03-17 02:00:00.000000"
4210,56595,1,"2013-09-21 02:00:00.000000"
4232,47061,1,"2012-06-30 02:00:00.000000"
4234,56133,1,"2013-09-13 02:00:00.000000"
4246,51513,1,"2013-06-20 02:00:00.000000"
4247,52752,1,"2013-07-17 02:00:00.000000"
4286,56301,1,"2013-09-16 02:00:00.000000"
4312,61197,1,"2013-11-30 02:00:00.000000"
4323,61971,1,"2013-12-11 02:00:00.000000"
4377,71652,1,"2014-04-29 02:00:00.000000"
4415,49833,1,"2013-02-28 02:00:00.000000"
4424,72387,1,"2014-05-07 02:00:00.000000"
4442,67956,1,"2014-03-09 02:00:00.000000"
4507,63084,1,"2013-12-30 02:00:00.000000"
4542,55944,1,"2013-09-09 02:00:00.000000"
4569,69258,1,"2014-03-29 02:00:00.000000"
4590,68292,1,"2014-03-15 02:00:00.000000"
4618,51009,1,"2013-05-22 02:00:00.000000"
4629,63819,1,"2014-01-07 02:00:00.000000"
4679,49959,1,"2013-03-06 02:00:00.000000"
4788,69657,1,"2014-03-31 02:00:00.000000"
4796,49098,1,"2012-12-31 02:00:00.000000"
4800,55776,1,"2013-09-06 02:00:00.000000"
4825,69867,1,"2014-04-04 02:00:00.000000"
4875,72534,1,"2014-05-09 02:00:00.000000"
4932,44562,1,"2011-10-01 02:00:00.000000"
4943,67011,1,"2014-02-24 02:00:00.000000"
4958,73563,1,"2014-05-22 02:00:00.000000"
4964,70497,1,"2014-04-12 02:00:00.000000"
4976,59388,1,"2013-11-03 02:00:00.000000"
5010,65793,1,"2014-02-05 02:00:00.000000"
5034,57141,1,"2013-09-30 02:00:00.000000"
5035,70539,1,"2014-04-13 02:00:00.000000"
5075,71379,1,"2014-04-25 02:00:00.000000"
5128,60102,1,"2013-11-13 02:00:00.000000"
5134,53823,1,"2013-08-03 02:00:00.000000"
5136,44541,1,"2011-10-01 02:00:00.000000"
5177,74655,1,"2014-06-16 02:00:00.000000"
5237,48720,1,"2012-11-28 02:00:00.000000"
5239,62769,1,"2013-12-25 02:00:00.000000"
5244,51807,1,"2013-06-30 02:00:00.000000"
5248,52017,1,"2013-07-02 02:00:00.000000"
5257,49203,1,"2013-01-03 02:00:00.000000"
5318,70182,1,"2014-04-08 02:00:00.000000"
5330,59325,1,"2013-11-02 02:00:00.000000"
5360,51786,1,"2013-06-30 02:00:00.000000"
5381,73500,1,"2014-05-21 02:00:00.000000"
5385,61614,1,"2013-12-06 02:00:00.000000"
5395,50043,1,"2013-03-14 02:00:00.000000"
5397,63903,1,"2014-01-09 02:00:00.000000"
5439,72429,1,"2014-05-07 02:00:00.000000"
5464,53403,1,"2013-07-30 02:00:00.000000"
5468,66654,1,"2014-02-19 02:00:00.000000"
5474,49749,1,"2013-02-18 02:00:00.000000"
5520,65289,1,"2014-01-29 02:00:00.000000"
5550,69468,1,"2014-03-31 02:00:00.000000"
5585,46788,1,"2012-06-11 02:00:00.000000"
5620,63735,1,"2014-01-06 02:00:00.000000"
5637,67599,1,"2014-03-04 02:00:00.000000"
5643,60774,1,"2013-11-24 02:00:00.000000"
5676,62517,1,"2013-12-20 02:00:00.000000"
5678,48048,1,"2012-09-30 02:00:00.000000"
5684,70014,1,"2014-04-05 02:00:00.000000"
5686,65268,1,"2014-01-29 02:00:00.000000"
5708,71295,1,"2014-04-24 02:00:00.000000"
5744,47859,1,"2012-09-17 02:00:00.000000"
5753,56910,1,"2013-09-28 02:00:00.000000"
5755,46305,1,"2012-04-25 02:00:00.000000"
5802,69447,1,"2014-03-31 02:00:00.000000"
5812,44310,1,"2011-08-31 02:00:00.000000"
5822,73773,1,"2014-05-25 02:00:00.000000"
5859,53088,1,"2013-07-24 02:00:00.000000"
5893,56532,1,"2013-09-20 02:00:00.000000"
5915,51114,1,"2013-05-30 02:00:00.000000"
5941,74970,1,"2014-06-26 02:00:00.000000"
5953,47355,1,"2012-07-31 02:00:00.000000"
5973,68607,1,"2014-03-19 02:00:00.000000"
5994,61945,1,"2013-12-11 02:00:00.000000"
6008,64806,1,"2014-01-23 02:00:00.000000"
6029,64365,1,"2014-01-16 02:00:00.000000"
6070,59892,1,"2013-11-10 02:00:00.000000"
6105,44163,1,"2011-08-06 02:00:00.000000"
6112,63021,1,"2013-12-29 02:00:00.000000"
6146,72030,1,"2014-05-02 02:00:00.000000"
6148,65877,1,"2014-02-06 02:00:00.000000"
6174,46368,1,"2012-04-30 02:00:00.000000"
6201,59766,1,"2013-11-09 02:00:00.000000"
6218,71127,1,"2014-04-21 02:00:00.000000"
6231,63462,1,"2014-01-02 02:00:00.000000"
6233,72324,1,"2014-05-06 02:00:00.000000"
6243,53550,1,"2013-07-31 02:00:00.000000"
6251,59598,1,"2013-11-06 02:00:00.000000"
6283,63210,1,"2013-12-31 02:00:00.000000"
6293,65184,7,"2014-01-29 02:00:00.000000"
6309,60438,1,"2013-11-18 02:00:00.000000"
6333,49560,1,"2013-01-29 02:00:00.000000"
6353,48909,1,"2012-12-13 02:00:00.000000"
6354,45864,1,"2012-03-08 02:00:00.000000"
6374,49476,1,"2013-01-28 02:00:00.000000"
6384,58422,1,"2013-10-22 02:00:00.000000"
6398,71862,1,"2014-05-01 02:00:00.000000"
6423,46116,1,"2012-03-30 02:00:00.000000"
6430,48993,1,"2012-12-23 02:00:00.000000"
6464,68775,1,"2014-03-22 02:00:00.000000"
6476,46935,1,"2012-06-30 02:00:00.000000"
6485,48699,1,"2012-11-26 02:00:00.000000"
6494,68880,1,"2014-03-23 02:00:00.000000"
6509,54579,1,"2013-08-17 02:00:00.000000"
6516,56196,1,"2013-09-14 02:00:00.000000"
6518,62853,1,"2013-12-26 02:00:00.000000"
6541,46011,1,"2012-03-29 02:00:00.000000"
6552,65583,1,"2014-02-02 02:00:00.000000"
6603,45129,1,"2011-12-10 02:00:00.000000"
6609,57918,1,"2013-10-13 02:00:00.000000"
6630,54411,1,"2013-08-14 02:00:00.000000"
6631,67494,1,"2014-03-03 02:00:00.000000"
6644,59220,1,"2013-11-01 02:00:00.000000"
6648,50862,1,"2013-05-09 02:00:00.000000"
6742,61488,1,"2013-12-04 02:00:00.000000"
6759,54453,1,"2013-08-15 02:00:00.000000"
6761,49161,1,"2012-12-31 02:00:00.000000"
6789,53781,1,"2013-08-03 02:00:00.000000"
6797,65730,1,"2014-02-04 02:00:00.000000"
6812,74025,1,"2014-05-28 02:00:00.000000"
6825,62538,1,"2013-12-21 02:00:00.000000"
6833,67074,1,"2014-02-25 02:00:00.000000"
6842,56175,1,"2013-09-13 02:00:00.000000"
6939,72576,1,"2014-05-09 02:00:00.000000"
6954,62706,1,"2013-12-24 02:00:00.000000"
6957,57393,1,"2013-10-03 02:00:00.000000"
6975,64785,1,"2014-01-22 02:00:00.000000"
6980,65121,1,"2014-01-28 02:00:00.000000"
6986,71001,1,"2014-04-19 02:00:00.000000"
6991,60018,1,"2013-11-12 02:00:00.000000"
6993,62979,1,"2013-12-28 02:00:00.000000"
7006,52164,1,"2013-07-06 02:00:00.000000"
7009,58065,1,"2013-10-15 02:00:00.000000"
7017,44184,1,"2011-08-10 02:00:00.000000"
7033,57960,1,"2013-10-14 02:00:00.000000"
7070,54621,1,"2013-08-18 02:00:00.000000"
7087,67242,1,"2014-02-28 02:00:00.000000"
7127,48636,1,"2012-11-20 02:00:00.000000"
7132,64491,1,"2014-01-18 02:00:00.000000"
7158,70161,1,"2014-04-07 02:00:00.000000"
7160,52101,1,"2013-07-04 02:00:00.000000"
7194,57897,1,"2013-10-12 02:00:00.000000"
7206,46809,1,"2012-06-15 02:00:00.000000"
7221,64050,1,"2014-01-11 02:00:00.000000"
7227,49140,1,"2012-12-31 02:00:00.000000"
7264,60480,1,"2013-11-19 02:00:00.000000"
7271,68355,1,"2014-03-16 02:00:00.000000"
7274,66171,1,"2014-02-11 02:00:00.000000"
7287,46599,1,"2012-05-29 02:00:00.000000"
7309,45108,1,"2011-12-06 02:00:00.000000"
7317,56889,1,"2013-09-27 02:00:00.000000"
7350,72599,1,"2014-05-10 02:00:00.000000"
7363,70602,1,"2014-04-14 02:00:00.000000"
7376,73626,1,"2014-05-23 02:00:00.000000"
7406,52269,1,"2013-07-07 02:00:00.000000"
7422,62370,1,"2013-12-18 02:00:00.000000"
7426,59346,1,"2013-11-03 02:00:00.000000"
7428,74298,1,"2014-06-04 02:00:00.000000"
7450,45843,1,"2012-03-04 02:00:00.000000"
7478,69310,1,"2014-03-30 02:00:00.000000"
7494,46431,1,"2012-05-06 02:00:00.000000"
7510,64218,1,"2014-01-14 02:00:00.000000"
7511,49686,1,"2013-02-12 02:00:00.000000"
7545,50127,1,"2013-03-23 02:00:00.000000"
7553,71904,1,"2014-05-01 02:00:00.000000"
7615,73521,1,"2014-05-22 02:00:00.000000"
7633,50883,1,"2013-05-10 02:00:00.000000"
7678,51345,1,"2013-06-09 02:00:00.000000"
7698,70434,1,"2014-04-11 02:00:00.000000"
7731,45735,1,"2012-02-21 02:00:00.000000"
7737,51240,1,"2013-06-02 02:00:00.000000"
7740,63609,1,"2014-01-04 02:00:00.000000"
7768,53949,1,"2013-08-06 02:00:00.000000"
7782,60648,1,"2013-11-22 02:00:00.000000"
7846,58401,1,"2013-10-21 02:00:00.000000"
7847,69090,1,"2014-03-27 02:00:00.000000"
7852,61425,1,"2013-12-02 02:00:00.000000"
7864,44808,1,"2011-11-01 02:00:00.000000"
7871,72177,1,"2014-05-04 02:00:00.000000"
7878,54117,1,"2013-08-09 02:00:00.000000"
7883,66339,1,"2014-02-14 02:00:00.000000"
7920,52668,1,"2013-07-15 02:00:00.000000"
7935,44436,1,"2011-09-21 02:00:00.000000"
7943,69300,1,"2014-03-29 02:00:00.000000"
7947,50274,1,"2013-03-30 02:00:00.000000"
7963,65457,1,"2014-01-31 02:00:00.000000"
8103,72492,1,"2014-05-08 02:00:00.000000"
8120,50190,1,"2013-03-30 02:00:00.000000"
8123,62265,1,"2013-12-16 02:00:00.000000"
8135,55629,1,"2013-09-04 02:00:00.000000"
8138,74697,1,"2014-06-17 02:00:00.000000"
8156,53655,1,"2013-07-31 02:00:00.000000"
8182,66276,1,"2014-02-13 02:00:00.000000"
8199,72660,1,"2014-05-11 02:00:00.000000"
8213,57057,1,"2013-09-30 02:00:00.000000"
8267,47481,1,"2012-08-03 02:00:00.000000"
8272,47628,1,"2012-08-25 02:00:00.000000"
8295,56469,1,"2013-09-19 02:00:00.000000"
8307,64323,1,"2014-01-16 02:00:00.000000"
8359,46725,1,"2012-06-04 02:00:00.000000"
8372,71484,1,"2014-04-26 02:00:00.000000"
8397,46578,1,"2012-05-26 02:00:00.000000"
8403,71211,1,"2014-04-22 02:00:00.000000"
8407,67641,1,"2014-03-04 02:00:00.000000"
8431,67809,1,"2014-03-07 02:00:00.000000"
8450,45339,1,"2012-01-01 02:00:00.000000"
8457,57477,1,"2013-10-04 02:00:00.000000"
8496,63945,1,"2014-01-09 02:00:00.000000"
8532,73206,1,"2014-05-18 02:00:00.000000"
8627,44247,1,"2011-08-24 02:00:00.000000"
8637,47565,1,"2012-08-16 02:00:00.000000"
8661,67977,1,"2014-03-10 02:00:00.000000"
8733,56259,1,"2013-09-15 02:00:00.000000"
8744,60396,1,"2013-11-18 02:00:00.000000"
8757,49245,1,"2013-01-06 02:00:00.000000"
8760,45402,1,"2012-01-10 02:00:00.000000"
8781,55608,1,"2013-09-03 02:00:00.000000"
8829,43701,1,"2011-05-31 02:00:00.000000"
8863,48615,1,"2012-11-18 02:00:00.000000"
8865,64113,1,"2014-01-12 02:00:00.000000"
8888,59115,1,"2013-10-30 02:00:00.000000"
8904,74676,1,"2014-06-16 02:00:00.000000"
8918,62748,1,"2013-12-24 02:00:00.000000"
8966,55902,1,"2013-09-08 02:00:00.000000"
8990,62601,1,"2013-12-22 02:00:00.000000"
9005,56427,1,"2013-09-18 02:00:00.000000"
9011,44646,1,"2011-10-13 02:00:00.000000"
9013,44016,1,"2011-07-21 02:00:00.000000"
9014,62307,1,"2013-12-17 02:00:00.000000"
9022,65625,1,"2014-02-02 02:00:00.000000"
9078,69972,1,"2014-04-05 02:00:00.000000"
9089,73731,1,"2014-05-25 02:00:00.000000"
9099,62139,1,"2013-12-14 02:00:00.000000"
9106,47880,1,"2012-09-19 02:00:00.000000"
9110,73710,1,"2014-05-24 02:00:00.000000"
9157,67683,1,"2014-03-05 02:00:00.000000"
9164,73059,1,"2014-05-16 02:00:00.000000"
9222,52626,1,"2013-07-15 02:00:00.000000"
9228,62916,1,"2013-12-27 02:00:00.000000"
9264,65940,1,"2014-02-07 02:00:00.000000"
9289,68124,1,"2014-03-12 02:00:00.000000"
9356,69384,1,"2014-03-30 02:00:00.000000"
9414,74151,1,"2014-05-31 02:00:00.000000"
9465,47943,1,"2012-09-28 02:00:00.000000"
9501,44058,1,"2011-07-29 02:00:00.000000"
9573,47922,1,"2012-09-24 02:00:00.000000"
9611,61656,1,"2013-12-06 02:00:00.000000"
9621,70959,1,"2014-04-19 02:00:00.000000"
9624,60375,1,"2013-11-17 02:00:00.000000"
9627,58653,1,"2013-10-26 02:00:00.000000"
9653,54516,1,"2013-08-16 02:00:00.000000"
9690,45738,1,"2012-02-21 02:00:00.000000"
9706,46872,1,"2012-06-22 02:00:00.000000"
9737,67431,1,"2014-03-02 02:00:00.000000"
9760,46221,1,"2012-04-14 02:00:00.000000"
9771,72786,1,"2014-05-12 02:00:00.000000"
9804,52437,1,"2013-07-11 02:00:00.000000"
9825,58023,1,"2013-10-15 02:00:00.000000"
9854,61173,1,"2013-11-30 02:00:00.000000"
9881,61236,1,"2013-11-30 02:00:00.000000"
9889,67704,1,"2014-03-06 02:00:00.000000"
9896,59682,1,"2013-11-07 02:00:00.000000"
9914,66255,1,"2014-02-12 02:00:00.000000"
9937,74550,1,"2014-06-12 02:00:00.000000"
9949,73458,1,"2014-05-21 02:00:00.000000"
9960,72639,1,"2014-05-10 02:00:00.000000"
9978,49056,1,"2012-12-31 02:00:00.000000"
9981,60543,1,"2013-11-20 02:00:00.000000"
9994,63672,1,"2014-01-05 02:00:00.000000"
9997,54684,1,"2013-08-19 02:00:00.000000"
10000,49917,1,"2013-03-01 02:00:00.000000"
10001,61698,1,"2013-12-07 02:00:00.000000"
10013,72954,1,"2014-05-15 02:00:00.000000"
10050,60858,1,"2013-11-25 02:00:00.000000"
10066,54180,1,"2013-08-10 02:00:00.000000"
10086,45759,1,"2012-02-25 02:00:00.000000"
10093,54012,1,"2013-08-07 02:00:00.000000"
10099,51093,1,"2013-05-30 02:00:00.000000"
10133,58464,1,"2013-10-22 02:00:00.000000"
10146,70392,1,"2014-04-11 02:00:00.000000"
10150,46641,1,"2012-05-30 02:00:00.000000"
10166,58128,1,"2013-10-16 02:00:00.000000"
10182,67158,1,"2014-02-27 02:00:00.000000"
10309,64743,1,"2014-01-22 02:00:00.000000"
10322,61992,1,"2013-12-12 02:00:00.000000"
10360,54355,1,"2013-08-13 02:00:00.000000"
10419,45591,1,"2012-01-30 02:00:00.000000"
10430,66864,1,"2014-02-22 02:00:00.000000"
10440,71232,1,"2014-04-23 02:00:00.000000"
10455,59808,1,"2013-11-09 02:00:00.000000"
10478,47418,1,"2012-07-31 02:00:00.000000"
10501,50106,1,"2013-03-21 02:00:00.000000"
10504,46683,1,"2012-05-30 02:00:00.000000"
10538,64575,1,"2014-01-19 02:00:00.000000"
10547,55209,1,"2013-08-29 02:00:00.000000"
10556,63525,1,"2014-01-03 02:00:00.000000"
10568,73584,1,"2014-05-23 02:00:00.000000"
10581,45297,1,"2012-01-01 02:00:00.000000"
10618,56868,1,"2013-09-27 02:00:00.000000"
10624,58317,1,"2013-10-20 02:00:00.000000"
10636,72051,1,"2014-05-02 02:00:00.000000"
10654,49077,1,"2012-12-31 02:00:00.000000"
10655,45633,1,"2012-02-05 02:00:00.000000"
10664,63546,1,"2014-01-03 02:00:00.000000"
10713,60837,1,"2013-11-25 02:00:00.000000"
10719,52290,1,"2013-07-08 02:00:00.000000"
10726,55251,1,"2013-08-30 02:00:00.000000"
10745,72156,1,"2014-05-04 02:00:00.000000"
10747,61572,1,"2013-12-05 02:00:00.000000"
10793,57372,1,"2013-10-03 02:00:00.000000"
10815,54054,1,"2013-08-08 02:00:00.000000"
10818,63714,1,"2014-01-06 02:00:00.000000"
10827,54999,1,"2013-08-25 02:00:00.000000"
